"","sample_ID","otter_region","site","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sediment_ww_pre_60C","pan_sediment_dw_post_60C","pan_sediment_dw_pre_450C","pan_sediment_dw_post450C","crucible_weight","crucible_sediment_dw_pre_950C","crucible_sediment_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","dry_bulk_density","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","percent_om","percent_im","om.im_ratio","om_density","im_density"
"1","2017Ap28_M01_A","Mid","M01","A",1,1.7,33.38,16,1,26.76737,51.71586,46.03987,46.03987,45.4589,NA,NA,NA,24.94849,TRUE,19.2725,1.20453125,19.2725,18.69153,0.580970000000001,NA,NA,NA,3.01450252951096,NA,NA,0.699796520312501,NA
"2","2017Ap28_M01_A","Mid","M01","A",2,1.7,33.38,16,2,26.42712,50.00359,44.83638,44.83638,44.45357,NA,NA,NA,23.57647,TRUE,18.40926,1.15057875,18.40926,18.02645,0.382809999999999,NA,NA,NA,2.07944262832943,NA,NA,0.440453051287499,NA
"3","2017Ap28_M01_A","Mid","M01","A",3,1.7,33.38,16,3,25.87729,49.09704,44.50183,44.50183,44.11086,NA,NA,NA,23.21975,TRUE,18.62454,1.16403375,18.62454,18.23357,0.390969999999996,NA,NA,NA,2.09921963173316,NA,NA,0.455102275237495,NA
"4","2017Ap28_M01_A","Mid","M01","A",4,1.7,33.38,16,4,25.15416,50.40132,45.60952,45.60952,45.28094,NA,NA,NA,25.24716,TRUE,20.45536,1.27846,20.45536,20.12678,0.328580000000002,NA,NA,NA,1.60632714359465,NA,NA,0.420076386800003,NA
"5","2017Ap28_M01_A","Mid","M01","A",5,1.7,33.38,16,5,26.18882,46.51599,42.57357,42.57357,42.27088,NA,NA,NA,20.32717,TRUE,16.38475,1.024046875,16.38475,16.08206,0.302689999999998,NA,NA,NA,1.84738857779337,NA,NA,0.309968748593748,NA
"6","2017Ap28_M01_A","Mid","M01","A",6,1.7,33.38,16,6,26.2824,49.19846,44.26875,44.26875,43.82577,NA,NA,NA,22.91606,TRUE,17.98635,1.124146875,17.98635,17.54337,0.442979999999999,NA,NA,NA,2.46286767465327,NA,NA,0.497974582687498,NA
"7","2017Ap28_M01_A","Mid","M01","A",7,1.7,33.38,16,7,28.46222,49.62005,45.58997,45.58997,45.24595,NA,NA,NA,21.15783,TRUE,17.12775,1.070484375,17.12775,16.78373,0.34402,NA,NA,NA,2.00855337099152,NA,NA,0.368268034687501,NA
"8","2017Ap28_M01_A","Mid","M01","A",8,1.7,33.38,16,8,27.16676,48.2745,44.5557,44.5557,44.16885,NA,NA,NA,21.10774,TRUE,17.38894,1.08680875,17.38894,17.00209,0.386850000000003,NA,NA,NA,2.22468994659826,NA,NA,0.420431964937503,NA
"9","2017Ap28_M01_A","Mid","M01","A",9,1.7,33.38,16,9,27.60748,47.97815,44.24844,44.24844,43.79762,NA,NA,NA,20.37067,TRUE,16.64096,1.04006,16.64096,16.19014,0.45082,NA,NA,NA,2.7090985135473,NA,NA,0.4688798492,NA
"10","2017Ap28_M01_A","Mid","M01","A",10,1.7,33.38,16,10,26.47991,46.95289,43.08978,43.08978,42.79167,NA,NA,NA,20.47298,TRUE,16.60987,1.038116875,16.60987,16.31176,0.298109999999994,NA,NA,NA,1.79477623846541,NA,NA,0.309473021606244,NA
