otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,sediment_ww_pre_60C,sediment_dw_post_60C,dry_bulk_density,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,sediment_dw_pre_450C,sediment_dw_post_450C,OM_weight,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C,sediment_dw_pre_950_C,sediment_dw_post950C,IM_weight
Low,L06,A,1,1.1,21.5875,21.5875,1,1.29409,25.23823,17.17096,23.94414,15.87687,0.73547,17.17096,11.29137,15.87687,9.99728,5.87959,,,,,,
Low,L06,A,2,1.1,21.5875,21.5875,2,1.29186,39.12236,28.33694,37.8305,27.04508,1.25281,28.33694,11.07443,27.04508,9.78257,17.26251,27.32424,37.33955,36.8753,10.01531,9.55106,0.46425
Low,L06,A,3,1.3,25.5125,25.5125,3,1.28577,46.55486,33.83475,45.26909,32.54898,1.27581,33.83475,11.80249,32.54898,10.51672,22.03226,,,,,,
Low,L06,A,4,1.1,21.5875,21.5875,4,1.27816,36.85464,27.09433,35.57648,25.81617,1.19589,27.09433,11.77326,25.81617,10.4951,15.32107,,,,,,
Low,L06,A,5,1.4,27.475,27.475,5,1.29332,44.44818,32.33891,43.15486,31.04559,1.12996,32.33891,11.3854,31.04559,10.09208,20.95351,,,,,,
Low,L06,A,6,1.1,21.5875,21.5875,6,1.27617,36.4029,26.86238,35.12673,25.58621,1.18523,26.86238,11.43155,25.58621,10.15538,15.43083,,,,,,
Low,L06,A,7,1.1,21.5875,21.5875,7,1.28285,40.1781,29.31035,38.89525,28.0275,1.29832,29.31035,11.09889,28.0275,9.81604,18.21146,27.18162,37.31168,36.73588,10.13006,9.55426,0.5758
Low,L06,A,8,1.2,23.55,23.55,8,1.2873,34.7275,23.91346,33.4402,22.62616,0.96077,23.91346,11.65552,22.62616,10.36822,12.25794,,,,,,
Low,L06,A,9,1.1,21.5875,21.5875,9,1.29924,39.85357,26.74388,38.55433,25.44464,1.17867,26.74388,10.81595,25.44464,9.51671,15.92793,,,,,,
Low,L06,A,10,1,19.625,19.625,10,1.28011,37.7601,25.28452,36.47999,24.00441,1.22315,25.28452,11.29277,24.00441,10.01266,13.99175,,,,,,
Low,L06,A,11,1.1,21.5875,21.5875,11,1.28492,35.10722,24.45962,33.8223,23.1747,1.07352,24.45962,10.96677,23.1747,9.681851,13.49285,,,,,,
Low,L06,A,12,1.1,21.5875,21.5875,12,1.2796,36.41581,24.0124,35.13621,22.7328,1.05305,24.0124,11.07397,22.7328,9.794371,12.93843,27.03366,37.37755,36.47293,10.34389,9.43927,0.90462
Low,L06,A,13,1.1,21.5875,21.5875,13,1.29248,37.06989,25.30367,35.77741,24.01119,1.11227,25.30367,11.02946,24.01119,9.736981,14.27421,,,,,,
Low,L06,A,14,1.1,21.5875,21.5875,14,1.28497,40.15793,29.06922,38.87296,27.78425,1.28705,29.06922,11.08434,27.78425,9.799371,17.98488,,,,,,
Low,L06,A,15,1,19.625,19.625,15,1.30373,36.17991,27.3691,34.87618,26.06537,1.32817,27.3691,11.15469,26.06537,9.850961,16.21441,,,,,,
Low,L06,A,16,1.3,25.5125,25.5125,16,1.28411,45.3992,34.14238,44.11509,32.85827,1.28793,34.14238,11.18173,32.85827,9.897621,22.96065,,,,,,
Low,L06,A,17,1,19.625,19.625,17,1.27044,36.99406,28.6972,35.72362,27.42676,1.39754,28.6972,11.57455,27.42676,10.304111,17.12265,28.20961,38.73111,38.21217,10.5215,10.00256,0.51894
Low,L06,A,18,1.1,21.5875,21.5875,18,1.27591,41.85765,32.30245,40.58174,31.02654,1.43725,32.30245,11.94743,31.02654,10.671521,20.35502,,,,,,
Low,L06,A,19,1.1,21.5875,21.5875,19,1.27407,42.26951,31.5261,40.99544,30.25203,1.40137,31.5261,11.18118,30.25203,9.907111,20.34492,,,,,,
Low,L06,A,20,1.1,21.5875,21.5875,20,1.27525,34.22254,26.12619,32.94729,24.85094,1.15117,26.12619,11.0349,24.85094,9.759651,15.09129,,,,,,
Low,L06,A,21,1,19.625,19.625,21,1.28873,44.56082,34.22778,43.27209,32.93905,1.67842,34.22778,10.97885,32.93905,9.690121,23.24893,,,,,,
Low,L06,A,22,1.2,23.55,23.55,22,1.27349,44.7545,35.86514,43.48101,34.59165,1.46886,35.86514,11.02654,34.59165,9.753051,24.8386,27.1399,37.15038,36.66595,10.01048,9.52605,0.48443
Low,L06,A,23,1.2,23.55,23.55,23,1.26936,49.19373,39.73353,47.92437,38.46417,1.6333,39.73353,11.05383,38.46417,9.784471,28.6797,,,,,,
Low,L06,A,24,1,19.625,19.625,24,1.26402,38.07285,30.08491,36.80883,28.82089,1.46858,30.08491,11.08657,28.82089,9.822551,18.99834,,,,,,
Low,L06,A,25,1.1,21.5875,21.5875,25,1.27216,46.73594,37.41476,45.46378,36.1426,1.67424,37.41476,11.27969,36.1426,10.007531,26.13507,,,,,,
Low,L06,A,26,1.3,25.5125,25.5125,26,1.3002,44.06041,32.42995,42.76021,31.12975,1.22018,32.42995,11.08425,31.12975,9.784051,21.3457,,,,,,
Low,L06,A,27,1.1,21.5875,21.5875,27,1.26125,42.08234,32.28478,40.82109,31.02353,1.43711,32.28478,11.38028,31.02353,10.119031,20.9045,24.97717,35.32026,34.87266,10.34309,9.89549,0.4476
Low,L06,A,28,1.2,23.55,23.55,28,1.27401,45.51101,35.62807,44.237,34.35406,1.45877,35.62807,11.1566,34.35406,9.882591,24.47147,,,,,,
Low,L06,A,29,1.1,21.5875,21.5875,29,1.30522,41.45744,31.89644,40.15222,30.59122,1.41708,31.89644,11.55447,30.59122,10.249251,20.34197,,,,,,
Low,L06,A,30,1.1,21.5875,21.5875,30,1.27443,42.65996,33.73925,41.38553,32.46482,1.50387,33.73925,11.26737,32.46482,9.992941,22.47188,,,,,,
Mid,M08,A,1,1.1,21.5875,21.5875,1,1.2987,35.53727,21.28956,34.23857,19.99086,0.92604,21.28956,19.02408,19.99086,17.72538,2.26548,,,,,,
Mid,M08,A,2,1.1,21.5875,21.5875,2,1.28076,33.16456,19.75047,31.8838,18.46971,0.85557,19.75047,17.86721,18.46971,16.58645,1.88326,28.01184,46.80922,45.15714,18.79738,17.1453,1.65208
Mid,M08,A,3,1,19.625,19.625,3,1.29038,26.99028,14.24553,25.6999,12.95515,0.66014,14.24553,12.57679,12.95515,11.28641,1.66874,,,,,,
Mid,M08,A,4,1,19.625,19.625,4,1.2831,27.19499,14.15712,25.91189,12.87402,0.656,14.15712,12.2234,12.87402,10.9403,1.93372,,,,,,
Mid,M08,A,5,0.9,17.6625,17.6625,5,1.26625,26.34577,13.4209,25.07952,12.15465,0.68816,13.4209,11.54752,12.15465,10.28127,1.87338,,,,,,
Mid,M08,A,6,0.9,17.6625,17.6625,6,1.27614,26.7762,14.22653,25.50006,12.95039,0.73321,14.22653,12.20966,12.95039,10.93352,2.01687,,,,,,
Mid,M08,A,7,0.9,17.6625,17.6625,7,1.28676,30.00836,18.45379,28.7216,17.16703,0.97195,18.45379,16.18262,17.16703,14.89586,2.27117,25.85583,42.90735,36.24903,17.05152,10.3932,6.65832
Mid,M08,A,8,0.9,17.6625,17.6625,8,1.29676,28.7506,16.70819,27.45384,15.41143,0.87255,16.70819,14.5328,15.41143,13.23604,2.17539,,,,,,
Mid,M08,A,9,0.9,17.6625,17.6625,9,1.28858,28.57663,16.16622,27.28805,14.87764,0.84233,16.16622,14.17849,14.87764,12.88991,1.98773,,,,,,
Mid,M08,A,10,0.8,15.7,15.7,10,1.28758,27.95512,15.99326,26.66754,14.70568,0.93667,15.99326,13.82888,14.70568,12.5413,2.16438,,,,,,
Mid,M08,A,11,0.8,15.7,15.7,11,1.29405,31.36377,22.16881,30.06972,20.87476,1.3296,22.16881,20.3202,20.87476,19.02615,1.84861,,,,,,
Mid,M08,A,12,0.9,17.6625,17.6625,12,1.28501,30.98365,22.55499,29.69864,21.26998,1.20425,22.55499,20.74073,21.26998,19.45572,1.81426,29.57194,50.9931,47.65769,21.42116,18.08575,3.33541
Mid,M08,A,13,1,19.625,19.625,13,1.28866,36.45768,25.2529,35.16902,23.96424,1.22111,25.2529,23.13576,23.96424,21.8471,2.11714,,,,,,
Mid,M08,A,14,1,19.625,19.625,14,1.28271,32.15986,21.93838,30.87715,20.65567,1.05252,21.93838,19.79296,20.65567,18.51025,2.14542,,,,,,
Mid,M08,A,15,0.9,17.6625,17.6625,15,1.30049,32.1355,23.09045,30.83501,21.78996,1.23368,23.09045,21.00101,21.78996,19.70052,2.08944,,,,,,
Mid,M08,A,16,0.9,17.6625,17.6625,16,1.28147,32.13356,22.79587,30.85209,21.5144,1.21808,22.79587,20.28688,21.5144,19.00541,2.50899,,,,,,
Mid,M08,A,17,1,19.625,19.625,17,1.28899,36.21708,26.88213,34.92809,25.59314,1.30411,26.88213,24.52244,25.59314,23.23345,2.35969,24.59652,49.98712,42.75714,25.3906,18.16062,7.22998
Mid,M08,A,18,0.9,17.6625,17.6625,18,1.29998,33.18968,24.28878,31.8897,22.9888,1.30156,24.28878,21.76751,22.9888,20.46753,2.52127,,,,,,
Mid,M08,A,19,0.9,17.6625,17.6625,19,1.28554,35.22683,26.46217,33.94129,25.17663,1.42543,26.46217,23.93383,25.17663,22.64829,2.52834,,,,,,
Mid,M08,A,20,0.9,17.6625,17.6625,20,1.27845,35.36879,27.27786,34.09034,25.99941,1.47201,27.27786,24.81731,25.99941,23.53886,2.46055,,,,,,
Mid,M08,A,21,0.6,11.775,11.775,21,1.28702,19.90504,16.16541,18.61802,14.87839,1.26356,16.16541,14.74978,14.87839,13.46276,1.41563,,,,,,
Mid,M08,A,22,1,19.625,19.625,22,1.29476,43.01749,33.88045,41.72273,32.58569,1.66042,33.88045,31.59354,32.58569,30.29878,2.28691,26.58674,59.1133,39.64537,32.52656,13.05863,19.46793
