sample_ID,otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C
2017Ap28_M01_A,Mid,M01,A,1,1.7,33.38,16.00000,1,26.76737,51.71586,46.03987,46.03987,45.45890,,,
2017Ap28_M01_A,Mid,M01,A,2,1.7,33.38,16.00000,2,26.42712,50.00359,44.83638,44.83638,44.45357,,,
2017Ap28_M01_A,Mid,M01,A,3,1.7,33.38,16.00000,3,25.87729,49.09704,44.50183,44.50183,44.11086,,,
2017Ap28_M01_A,Mid,M01,A,4,1.7,33.38,16.00000,4,25.15416,50.40132,45.60952,45.60952,45.28094,,,
2017Ap28_M01_A,Mid,M01,A,5,1.7,33.38,16.00000,5,26.18882,46.51599,42.57357,42.57357,42.27088,,,
2017Ap28_M01_A,Mid,M01,A,6,1.7,33.38,16.00000,6,26.28240,49.19846,44.26875,44.26875,43.82577,,,
2017Ap28_M01_A,Mid,M01,A,7,1.7,33.38,16.00000,7,28.46222,49.62005,45.58997,45.58997,45.24595,,,
2017Ap28_M01_A,Mid,M01,A,8,1.7,33.38,16.00000,8,27.16676,48.27450,44.55570,44.55570,44.16885,,,
2017Ap28_M01_A,Mid,M01,A,9,1.7,33.38,16.00000,9,27.60748,47.97815,44.24844,44.24844,43.79762,,,
2017Ap28_M01_A,Mid,M01,A,10,1.7,33.38,16.00000,10,26.47991,46.95289,43.08978,43.08978,42.79167,,,
2017July23_L06_A,Low,L06,A,1,1.1,21.5875,21.58750,1,1.29409,25.23823,17.17096,17.17096,11.29137,,,
2017July23_L06_A,Low,L06,A,2,1.1,21.5875,21.58750,2,1.29186,39.12236,28.33694,28.33694,11.07443,27.32424,37.33955,36.87530
2017July23_L06_A,Low,L06,A,3,1.3,25.5125,25.51250,3,1.28577,46.55486,33.83475,33.83475,11.80249,,,
2017July23_L06_A,Low,L06,A,4,1.1,21.5875,21.58750,4,1.27816,36.85464,27.09433,27.09433,11.77326,,,
2017July23_L06_A,Low,L06,A,5,1.4,27.475,27.47500,5,1.29332,44.44818,32.33891,32.33891,11.38540,,,
2017July23_L06_A,Low,L06,A,6,1.1,21.5875,21.58750,6,1.27617,36.40290,26.86238,26.86238,11.43155,,,
2017July23_L06_A,Low,L06,A,7,1.1,21.5875,21.58750,7,1.28285,40.17810,29.31035,29.31035,11.09889,27.18162,37.31168,36.73588
2017July23_L06_A,Low,L06,A,8,1.2,23.55,23.55000,8,1.28730,34.72750,23.91346,23.91346,11.65552,,,
2017July23_L06_A,Low,L06,A,9,1.1,21.5875,21.58750,9,1.29924,39.85357,26.74388,26.74388,10.81595,,,
2017July23_L06_A,Low,L06,A,10,1,19.625,19.62500,10,1.28011,37.76010,25.28452,25.28452,11.29277,,,
2017July23_L06_A,Low,L06,A,11,1.1,21.5875,21.58750,11,1.28492,35.10722,24.45962,24.45962,10.96677,,,
2017July23_L06_A,Low,L06,A,12,1.1,21.5875,21.58750,12,1.27960,36.41581,24.01240,24.01240,11.07397,27.03366,37.37755,36.47293
2017July23_L06_A,Low,L06,A,13,1.1,21.5875,21.58750,13,1.29248,37.06989,25.30367,25.30367,11.02946,,,
2017July23_L06_A,Low,L06,A,14,1.1,21.5875,21.58750,14,1.28497,40.15793,29.06922,29.06922,11.08434,,,
2017July23_L06_A,Low,L06,A,15,1,19.625,19.62500,15,1.30373,36.17991,27.36910,27.36910,11.15469,,,
2017July23_L06_A,Low,L06,A,16,1.3,25.5125,25.51250,16,1.28411,45.39920,34.14238,34.14238,11.18173,,,
2017July23_L06_A,Low,L06,A,17,1,19.625,19.62500,17,1.27044,36.99406,28.69720,28.69720,11.57455,28.20961,38.73111,38.21217
2017July23_L06_A,Low,L06,A,18,1.1,21.5875,21.58750,18,1.27591,41.85765,32.30245,32.30245,11.94743,,,
2017July23_L06_A,Low,L06,A,19,1.1,21.5875,21.58750,19,1.27407,42.26951,31.52610,31.52610,11.18118,,,
2017July23_L06_A,Low,L06,A,20,1.1,21.5875,21.58750,20,1.27525,34.22254,26.12619,26.12619,11.03490,,,
2017July23_L06_A,Low,L06,A,21,1,19.625,19.62500,21,1.28873,44.56082,34.22778,34.22778,10.97885,,,
2017July23_L06_A,Low,L06,A,22,1.2,23.55,23.55000,22,1.27349,44.75450,35.86514,35.86514,11.02654,27.1399,37.15038,36.66595
2017July23_L06_A,Low,L06,A,23,1.2,23.55,23.55000,23,1.26936,49.19373,39.73353,39.73353,11.05383,,,
2017July23_L06_A,Low,L06,A,24,1,19.625,19.62500,24,1.26402,38.07285,30.08491,30.08491,11.08657,,,
2017July23_L06_A,Low,L06,A,25,1.1,21.5875,21.58750,25,1.27216,46.73594,37.41476,37.41476,11.27969,,,
2017July23_L06_A,Low,L06,A,26,1.3,25.5125,25.51250,26,1.30020,44.06041,32.42995,32.42995,11.08425,,,
2017July23_L06_A,Low,L06,A,27,1.1,21.5875,21.58750,27,1.26125,42.08234,32.28478,32.28478,11.38028,24.97717,35.32026,34.87266
2017July23_L06_A,Low,L06,A,28,1.2,23.55,23.55000,28,1.27401,45.51101,35.62807,35.62807,11.15660,,,
2017July23_L06_A,Low,L06,A,29,1.1,21.5875,21.58750,29,1.30522,41.45744,31.89644,31.89644,11.55447,,,
2017July23_L06_A,Low,L06,A,30,1.1,21.5875,21.58750,30,1.27443,42.65996,33.73925,33.73925,11.26737,,,
2017Aug22_M08_A,Mid,M08,A,1,1.1,21.5875,21.58750,1,1.29870,35.53727,21.28956,21.28956,19.02408,,,
2017Aug22_M08_A,Mid,M08,A,2,1.1,21.5875,21.58750,2,1.28076,33.16456,19.75047,19.75047,17.86721,28.01184,46.80922,45.15714
2017Aug22_M08_A,Mid,M08,A,3,1,19.625,19.62500,3,1.29038,26.99028,14.24553,14.24553,12.57679,,,
2017Aug22_M08_A,Mid,M08,A,4,1,19.625,19.62500,4,1.28310,27.19499,14.15712,14.15712,12.22340,,,
2017Aug22_M08_A,Mid,M08,A,5,0.9,17.6625,17.66250,5,1.26625,26.34577,13.42090,13.42090,11.54752,,,
